"","Series 1"
"1",1349.54136363636
"2",1369.83952380952
"3",1338.60095238095
"4",1455.42022727273
"5",1524.125
"6",1537.5725
"7",1495.68
"8",1499.88318181818
"9",1476.27904761905
"10",1476.98043478261
"11",1469.27714285714
"12",1472.89272727273
"13",1430.51130434783
"14",1372.742
"15",1526.05392857143
"16",1571.00954545455
"17",1568.84306818182
"18",1688.33476190476
"19",1677.26652173913
"20",1652.12142857143
"21",1769.745
"22",1741.38434782609
"23",1694.7575
"24",1737.5327826087
"25",1672.87672727273
"26",1640.835
"27",1719.21227272727
"28",1724.55965909091
"29",1794.73535714286
"30",1721.89363636364
"31",1712.2252173913
"32",1683.68476190476
"33",1687.31545454545
"34",1646.42909090909
"35",1594.90571428571
"36",1513.16217391304
"37",1455.51666666667
"38",1408.4655
"39",1313.24391304348
"40",1189.70806818182
"41",1059.19380952381
"42",1161.83318181818
"43",1113.39363636364
"44",1056.37727272727
"45",1061.37590909091
"46",1021.48619047619
"47",922.463181818182
"48",918.413913043478
"49",917.71380952381
"50",859.125238095238
"51",932.879565217391
"52",912.23125
"53",909.329782608696
"54",941.570909090909
"55",936.68619047619
"56",877.876956521739
"57",883.122857142857
"58",878.121818181818
"59",800.870454545455
"60",804.669880952381
"61",960.758043478261
"62",1156.9375
"63",1124.40590909091
"64",1081.74392857143
"65",1078.64804347826
"66",972.153333333333
"67",967.112272727273
"68",1034.10608695652
"69",1019.7765
"70",1084.77826086957
"71",1240.82636363636
"72",1338.02857142857
"73",1382.4647826087
"74",1491.7755
"75",1591.51416666667
"76",1569.28772727273
"77",1605.28913043478
"78",1658.655
"79",1868.5952173913
"80",1960.46818181818
"81",2163.93714285714
"82",2205.26217391304
"83",1814.06523809524
"84",2025.33136363636
"85",2179.99086956522
"86",2239.265
"87",1994.71904761905
"88",1925.57034090909
"89",1744.34443181818
"90",1579.10904761905
"91",1560.31304347826
"92",1571.44761904762
"93",1631.58409090909
"94",1481.93434782609
"95",1511.034
"96",1624.15965217391
"97",1620.76363636364
"98",1569.1245
"99",1504.42652173913
"100",1437.64636363636
"101",1416.66035714286
