Date,Price,Open,High,Low,Vol.,Change..
2025-03-28,15.45,15.5,15.54,15.465,NA,0.00%
2025-03-27,15.45,15.5,15.54,15.465,NA,0.00%
2025-03-26,15.45,15.5,15.55,15.475,NA,0.00%
2025-03-25,15.45,15.5,15.55,15.47,NA,0.00%
2025-03-24,15.45,15.5,15.55,15.475,NA,0.00%
2025-03-21,15.45,15.5,15.53,15.5,NA,0.00%
2025-03-20,15.45,15.5,15.55,15.475,NA,0.00%
2025-03-19,15.45,15.5,15.55,15.475,NA,0.00%
2025-03-18,15.45,15.5,15.55,15.475,NA,0.00%
2025-03-17,15.45,15.5,15.55,15.475,NA,0.00%
2025-03-14,15.45,15.5,15.55,15.45,NA,0.00%
2025-03-13,15.45,15.5,15.55,15.35,NA,-0.13%
2025-03-12,15.47,15.5,15.55,15.475,NA,0.13%
2025-03-11,15.45,15.51,15.56,15.475,NA,-0.06%
2025-03-10,15.46,15.5,15.56,15.465,NA,-0.13%
2025-03-07,15.48,15.5,15.55,15.465,NA,0.19%
2025-03-06,15.45,15.45,15.45,15.45,NA,0.00%
2025-03-05,15.45,15.51,15.55,15.475,NA,0.00%
2025-03-04,15.45,15.5,15.54,15.475,NA,0.00%
2025-03-03,15.45,15.5,15.55,15.49,NA,0.00%
2025-02-28,15.45,15.5,15.54,15.5,NA,0.00%
2025-02-27,15.45,15.5,15.53,15.49,NA,0.00%
2025-02-26,15.45,15.5,15.62,15.465,NA,0.00%
2025-02-25,15.45,15.5,15.54,15.465,NA,0.00%
2025-02-24,15.45,15.54,15.925,15.475,NA,-0.19%
2025-02-21,15.48,15.55,15.56,15.475,NA,-0.13%
2025-02-20,15.5,15.525,15.56,15.495,NA,0.00%
2025-02-19,15.5,15.5,15.525,15.485,NA,0.00%
2025-02-18,15.5,15.475,15.6,15.45,NA,0.32%
2025-02-17,15.45,15.5,15.9,15.41,NA,0.32%
2025-02-14,15.4,15.425,15.525,15.4,NA,0.00%
2025-02-13,15.4,15.45,15.525,15.415,NA,0.00%
2025-02-12,15.4,15.45,15.5,15.4,NA,0.00%
2025-02-11,15.4,15.35,15.55,15.35,NA,0.65%
2025-02-10,15.3,15.415,15.5,15.35,NA,-0.65%
2025-02-07,15.4,15.4,15.485,15.375,NA,0.33%
2025-02-06,15.35,15.4,15.5,15.35,NA,0.00%
2025-02-05,15.35,15.35,15.5,15.3,NA,0.33%
2025-02-04,15.3,15.35,15.4,15.275,NA,0.00%
2025-02-03,15.3,15.35,15.4,15.25,NA,0.33%
2025-01-31,15.25,15.275,15.4,15.2,NA,-0.33%
2025-01-30,15.3,15.3,15.35,15.175,NA,0.33%
2025-01-29,15.25,15.2,15.35,15.175,NA,0.66%
2025-01-28,15.15,15.2,15.285,15.2,NA,0.00%
2025-01-27,15.15,15.2,15.3105,15.1,NA,0.00%
2025-01-24,15.15,15.15,15.225,15.025,NA,0.00%
2025-01-23,15.15,15.175,15.25,15.05,NA,0.33%
2025-01-22,15.1,15.05,15.225,14.95,NA,0.67%
2025-01-21,15,15.025,15.3,14.95,NA,0.00%
2025-01-20,15,14.85,15.075,14.805,NA,1.35%
2025-01-17,14.8,14.9,15.025,14.775,NA,-0.67%
2025-01-16,14.9,14.85,15,14.7,NA,0.68%
2025-01-15,14.8,14.825,14.9,14.7,NA,0.00%
2025-01-14,14.8,14.825,14.87,14.695,NA,0.00%
2025-01-13,14.8,14.75,14.865,14.7,NA,0.34%
2025-01-10,14.75,14.73,14.85,14.725,NA,0.20%
2025-01-09,14.72,14.775,14.8,14.7,NA,0.14%
2025-01-08,14.7,14.73,14.805,14.675,NA,0.14%
2025-01-07,14.68,14.73,14.73,14.7,NA,0.00%
2025-01-06,14.68,14.7,14.775,14.65,NA,0.20%
2025-01-03,14.65,14.7,14.9,14.65,NA,0.00%
2025-01-02,14.65,14.7,14.78,14.65,NA,0.00%
2025-01-01,14.65,14.65,14.65,14.65,NA,0.00%
2024-12-31,14.65,14.7,14.725,14.65,NA,0.00%
2024-12-30,14.65,14.7,14.725,14.65,NA,0.00%
2024-12-27,14.65,14.65,14.85,14.65,NA,0.00%
2024-12-26,14.65,14.65,14.65,14.65,NA,0.00%
2024-12-25,14.65,14.65,14.65,14.65,NA,0.00%
2024-12-24,14.65,14.7,14.7,14.55,NA,0.00%
2024-12-23,14.65,14.7,14.765,14.5975,NA,0.00%
2024-12-20,14.65,14.7,14.725,14.65,NA,0.00%
2024-12-19,14.65,14.7,14.765,14.6,NA,0.00%
2024-12-18,14.65,14.69,14.73,14.65,NA,0.00%
2024-12-17,14.65,14.7,14.805,14.65,NA,0.00%
2024-12-16,14.65,14.665,14.805,14.65,NA,-0.17%
2024-12-13,14.675,14.63,14.725,14.63,NA,0.17%
2024-12-12,14.65,14.65,15.225,14.6,NA,0.34%
2024-12-11,14.6,14.65,14.82,14.65,NA,-0.34%
2024-12-10,14.65,14.75,14.895,14.7,NA,-0.34%
2024-12-09,14.7,14.775,15.375,14.745,NA,-0.68%
2024-12-06,14.8,14.8,14.8,14.8,NA,0.00%
2024-12-05,14.8,14.85,15,14.75,NA,-0.34%
2024-12-04,14.85,15.15,15.65,14.85,NA,-1.66%
2024-12-03,15.1,15.2,15.26,15.05,NA,-0.33%
2024-12-02,15.15,15.37,15.735,15.15,NA,-0.33%
2024-11-29,15.2,15.4,15.45,15.2,NA,-0.65%
2024-11-28,15.3,15.475,15.625,15.35,NA,-0.97%
2024-11-27,15.45,15.5,15.915,15.45,NA,-0.32%
2024-11-26,15.5,15.675,15.91,15.55,NA,-0.96%
2024-11-25,15.65,15.85,15.925,15.7,NA,-0.95%
2024-11-22,15.8,15.9,16.0275,15.75,NA,-0.32%
2024-11-21,15.85,15.9,15.925,15.775,NA,0.00%
2024-11-20,15.85,15.9,16.1,15.85,NA,0.00%
2024-11-19,15.85,15.95,16.1,15.85,NA,-0.31%
2024-11-18,15.9,16.2,16.225,15.875,NA,-0.31%
2024-11-15,15.95,16.05,16.175,15.875,NA,-0.31%
2024-11-14,16,16.15,16.275,15.965,NA,-0.62%
2024-11-13,16.1,16.3,16.3,16.025,NA,-0.92%
2024-11-12,16.25,16.35,16.4,16.1,NA,-0.31%
2024-11-11,16.3,16.2,16.4,16.2,NA,0.62%
2024-11-08,16.2,16.3,16.45,16.275,NA,0.00%
2024-11-07,16.2,16.35,16.45,16.275,NA,-0.61%
2024-11-06,16.3,16.375,16.475,16.325,NA,0.12%
2024-11-05,16.28,16.35,16.4775,16.315,NA,-0.12%
2024-11-04,16.3,16.3,16.35,16.2,NA,0.31%
2024-11-01,16.25,16.3,16.43,16.15,NA,0.00%
2024-10-31,16.25,16.3,16.325,16.15,NA,0.00%
2024-10-30,16.25,16.26,16.35,16.075,NA,0.93%
2024-10-29,16.1,16.075,16.3,16.075,NA,-0.62%
2024-10-28,16.2,16.2,16.25,16.075,NA,0.93%
2024-10-25,16.05,16.14,16.265,16.06,NA,0.19%
2024-10-24,16.02,16.11,16.15,16.06,NA,-0.19%
2024-10-23,16.05,16.15,16.2,15.955,NA,0.63%
2024-10-22,15.95,16.1,16.175,15.975,NA,-0.62%
2024-10-21,16.05,16.045,16.135,15.96,NA,0.94%
2024-10-18,15.9,16.045,16.425,15.95,NA,-0.56%
2024-10-17,15.99,16,16.09,15.91,NA,0.25%
2024-10-16,15.95,15.915,16.07,15.905,NA,0.00%
2024-10-15,15.95,15.95,16.02,15.9,NA,0.31%
2024-10-14,15.9,15.93,15.985,15.9,NA,0.13%
2024-10-11,15.88,15.9,15.9825,15.87,NA,0.19%
2024-10-10,15.85,15.9,15.9825,15.83,NA,0.00%
2024-10-09,15.85,15.89,15.975,15.84,NA,0.06%
2024-10-08,15.84,15.89,15.975,15.825,NA,0.00%
2024-10-07,15.84,15.85,15.94,15.77,NA,0.44%
2024-10-04,15.77,15.89,15.92,15.77,NA,-0.06%
