"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2014","160.35","160.35","160.35","160.35","","0.60%"
"07/15/2014","159.40","159.40","159.40","159.40","0.00K","-1.79%"
"07/14/2014","162.30","162.30","162.30","162.30","","2.11%"
"07/11/2014","158.95","160.00","160.00","157.80","0.01K","-0.81%"
"07/10/2014","160.25","166.90","166.90","160.85","0.10K","-5.85%"
"07/09/2014","170.20","170.20","170.20","170.20","","0.00%"
"07/08/2014","170.20","169.50","169.50","169.00","0.01K","0.71%"
"07/07/2014","169.00","170.30","170.30","165.00","0.02K","-1.76%"
"07/06/2014","172.02","172.02","172.02","172.02","","1.55%"
"07/03/2014","169.40","172.00","172.00","172.00","0.00K","-0.96%"
"07/02/2014","171.05","169.50","169.50","169.50","0.05K","1.63%"
"07/01/2014","168.30","172.25","172.25","168.20","0.02K","-2.72%"
"06/30/2014","173.00","172.55","172.75","168.65","0.05K","1.50%"
"06/27/2014","170.45","180.50","182.50","169.90","0.06K","-4.67%"
"06/26/2014","178.80","178.60","179.20","177.70","0.03K","-0.64%"
"06/25/2014","179.95","173.55","179.50","173.55","0.05K","3.33%"
"06/24/2014","174.15","174.85","175.30","171.00","0.03K","-0.54%"
"06/23/2014","175.10","173.00","175.85","173.00","0.11K","1.07%"
"06/20/2014","173.25","168.25","175.80","168.05","0.37K","3.74%"
"06/19/2014","167.00","167.25","168.60","163.10","11.83K","0.15%"
"06/18/2014","166.75","169.20","170.50","166.00","9.09K","-1.36%"
"06/17/2014","169.05","172.50","172.80","166.70","11.26K","-2.25%"
"06/16/2014","172.95","173.65","176.70","172.10","8.53K","-0.43%"
"06/13/2014","173.70","171.95","179.70","171.60","23.03K","1.02%"
"06/12/2014","171.95","171.60","173.30","168.15","24.47K","0.20%"
"06/11/2014","171.60","166.60","173.50","166.15","22.07K","3.59%"
"06/10/2014","165.65","165.35","167.85","165.10","17.57K","0.18%"
"06/09/2014","165.35","171.95","171.95","165.10","16.14K","-3.92%"
"06/06/2014","172.10","168.60","173.80","168.25","17.93K","1.74%"
"06/05/2014","169.15","169.00","171.00","168.00","11.13K","-0.62%"
"06/04/2014","170.20","171.00","171.75","167.35","10.76K","-0.56%"
