"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2014","107.89","108.08","109.02","107.64","179.23K","-0.14%"
"05/08/2014","108.04","108.07","108.15","107.38","163.88K","-0.08%"
"05/07/2014","108.13","107.17","108.25","106.96","217.14K","1.00%"
"05/06/2014","107.06","107.53","108.21","106.97","194.54K","-0.61%"
"05/05/2014","107.72","108.92","108.92","107.05","139.53K","-0.80%"
"05/02/2014","108.59","107.72","108.99","107.60","215.15K","0.77%"
"05/01/2014","107.76","108.08","108.12","106.85","186.88K","-0.29%"
"04/30/2014","108.07","108.80","108.80","107.55","213.56K","-0.84%"
"04/29/2014","108.98","108.13","109.37","108.00","206.50K","0.80%"
"04/28/2014","108.12","109.50","110.20","107.86","246.47K","-1.33%"
"04/25/2014","109.58","110.33","110.63","109.25","216.21K","-0.68%"
"04/24/2014","110.33","109.22","110.65","109.07","215.43K","1.12%"
"04/23/2014","109.11","109.50","109.54","108.60","181.74K","-0.15%"
"04/22/2014","109.27","109.94","109.99","108.53","201.11K","-0.62%"
"04/21/2014","109.95","109.76","110.05","108.89","71.87K","0.38%"
"04/17/2014","109.53","109.60","110.19","109.08","163.99K","-0.06%"
"04/16/2014","109.60","109.43","110.36","109.00","229.36K","0.79%"
"04/15/2014","108.74","108.92","109.11","108.27","19.55K","-0.30%"
"04/14/2014","109.07","107.42","109.12","107.26","95.83K","1.62%"
"04/11/2014","107.33","107.35","107.87","106.98","105.40K","-0.12%"
"04/10/2014","107.46","107.90","107.92","107.26","124.82K","-0.48%"
"04/09/2014","107.98","107.50","108.14","107.12","144.72K","0.29%"
"04/08/2014","107.67","105.97","107.85","105.78","193.36K","1.75%"
"04/07/2014","105.82","106.35","106.63","105.13","215.20K","-0.84%"
"04/04/2014","106.72","106.17","107.04","106.10","184.07K","0.54%"
"04/03/2014","106.15","104.59","106.32","104.45","220.54K","1.30%"
"04/02/2014","104.79","105.32","105.85","103.95","271.60K","-0.79%"
"04/01/2014","105.62","107.66","107.80","105.10","195.03K","-1.99%"
"03/31/2014","107.76","108.00","108.33","107.05","145.63K","-0.29%"
"03/28/2014","108.07","107.73","108.39","107.62","140.35K","0.22%"
"03/27/2014","107.83","107.00","107.99","106.77","184.83K","0.75%"
"03/26/2014","107.03","106.97","107.35","106.48","166.38K","0.04%"
"03/25/2014","106.99","106.59","107.48","106.44","167.09K","0.17%"
"03/24/2014","106.81","107.01","107.50","106.45","142.79K","-0.10%"
"03/21/2014","106.92","106.22","107.77","106.01","167.80K","0.44%"
"03/20/2014","106.45","105.90","106.75","105.41","205.21K","0.57%"
"03/19/2014","105.85","106.60","106.87","105.71","188.48K","-0.88%"
"03/18/2014","106.79","106.40","106.85","105.85","170.58K","0.52%"
"03/17/2014","106.24","108.55","108.60","106.16","166.23K","-2.15%"
"03/14/2014","108.57","107.25","108.69","107.24","12.88K","1.10%"
"03/13/2014","107.39","108.26","108.51","106.98","86.26K","-0.58%"
"03/12/2014","108.02","108.41","108.55","107.61","159.23K","-0.49%"
"03/11/2014","108.55","107.88","108.70","107.83","146.85K","0.43%"
"03/10/2014","108.08","108.73","108.85","107.75","149.34K","-0.84%"
"03/07/2014","109.00","108.30","109.09","107.82","172.05K","0.83%"
"03/06/2014","108.10","107.66","108.54","107.37","228.72K","0.32%"
"03/05/2014","107.76","109.17","109.36","107.55","220.18K","-1.41%"
"03/04/2014","109.30","111.16","111.32","109.00","218.50K","-1.71%"
"03/03/2014","111.20","109.44","112.39","109.26","291.31K","1.95%"
"02/28/2014","109.07","108.85","109.34","108.40","189.56K","0.10%"
"02/27/2014","108.96","109.41","109.45","108.65","192.91K","-0.51%"
"02/26/2014","109.52","109.56","109.97","109.20","186.71K","0.01%"
