"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2014","17.29","17.45","17.45","17.15","65.29K","-0.75%"
"07/09/2014","17.42","17.70","17.77","17.27","57.31K","-1.47%"
"07/08/2014","17.68","17.55","17.78","17.40","59.81K","0.97%"
"07/07/2014","17.51","17.75","17.75","17.34","70.32K","-1.71%"
"07/06/2014","17.82","17.82","17.82","17.82","","0.03%"
"07/03/2014","17.81","17.90","17.93","17.73","31.43K","-0.34%"
"07/02/2014","17.87","17.83","17.96","17.65","63.09K","0.39%"
"07/01/2014","17.80","18.04","18.04","17.71","72.38K","7.10%"
"06/30/2014","16.62","16.90","17.21","16.49","2.30K","-1.36%"
"06/27/2014","16.85","17.59","17.69","16.82","16.79K","-4.10%"
"06/26/2014","17.57","17.75","17.81","17.52","36.46K","-0.85%"
"06/25/2014","17.72","17.76","17.84","17.53","39.23K","-0.51%"
"06/24/2014","17.81","17.80","17.88","17.66","62.02K","-0.22%"
"06/23/2014","17.85","17.94","17.98","17.72","36.67K","-0.39%"
"06/20/2014","17.92","17.93","17.96","17.83","29.32K","-0.11%"
"06/19/2014","17.94","17.48","17.98","17.38","57.10K","2.34%"
"06/18/2014","17.53","17.09","17.55","17.04","84.11K","2.75%"
"06/17/2014","17.06","17.07","17.10","16.96","53.63K","-0.23%"
"06/16/2014","17.10","17.11","17.22","17.04","68.91K","0.35%"
"06/13/2014","17.04","16.72","17.17","16.67","63.62K","2.04%"
"06/12/2014","16.70","16.76","16.87","16.68","68.67K","-0.65%"
"06/11/2014","16.81","16.95","16.95","16.75","74.58K","-0.94%"
"06/10/2014","16.97","17.04","17.08","16.84","99.92K","-0.06%"
"06/09/2014","16.98","16.97","17.17","16.93","80.41K","0.35%"
"06/06/2014","16.92","16.85","16.99","16.77","84.78K","0.53%"
"06/05/2014","16.83","17.02","17.10","16.81","76.36K","-1.23%"
"06/04/2014","17.04","17.18","17.26","17.01","61.48K","-0.87%"
"06/03/2014","17.19","17.16","17.28","17.13","51.05K","0.06%"
"06/02/2014","17.18","17.45","17.54","17.12","64.12K","-1.15%"
"05/30/2014","17.38","17.50","17.54","17.25","49.46K","-0.57%"
"05/29/2014","17.48","17.17","17.57","17.17","59.25K","2.16%"
"05/28/2014","17.11","17.02","17.18","17.01","42.90K","0.53%"
"05/27/2014","17.02","17.32","17.34","16.95","85.67K","-2.01%"
"05/23/2014","17.37","17.34","17.45","17.26","","-0.06%"
"05/22/2014","17.38","17.46","17.54","17.36","55.14K","-0.34%"
"05/21/2014","17.44","17.59","17.59","17.35","58.85K","-0.80%"
"05/20/2014","17.58","17.75","17.87","17.53","51.52K","-1.07%"
"05/19/2014","17.77","17.92","17.99","17.72","43.92K","-0.78%"
"05/16/2014","17.91","18.15","18.23","17.86","44.16K","-1.59%"
"05/15/2014","18.20","18.21","18.25","17.81","77.62K","-0.27%"
"05/14/2014","18.25","17.84","18.28","17.83","71.22K","2.53%"
"05/13/2014","17.80","17.31","17.84","17.30","72.53K","2.95%"
"05/12/2014","17.29","17.20","17.32","17.13","20.92K","0.70%"
